NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
631,1.275902825984556,1.3416030028743513,1.1494178021406316,1,Leicester Square,177735.30840152327,12.08805631742179
632,0.7683052209695594,0.7959977243144555,0.7611495137840443,4,Leyton,37323.285749063485,10.527399486231355
633,0.7676852279233954,0.8061217119651034,0.758257568402156,4,Leytonstone,28422.391445501384,10.254967727589223
634,0.7040096726991031,0.718093544214567,0.7314697712576895,2,Liverpool Street LU,378612.9382300711,12.844272332267417
635,0.9824964909543061,1.0011379514961811,0.9341104711000959,2,London Bridge LU,234170.29034949467,12.36380813659174
636,0.686979523264093,0.7502419774144268,0.7145110478543695,0,Loughton,9990.841939789923,9.209524233004348
637,0.7403277103067168,0.7415192099334351,0.728059007211947,4,Maida Vale,11970.360893667006,9.390272484125243
638,0.8465091555580193,0.8881769941141101,0.836569257072661,4,Manor House,28136.944102784317,10.24487426839685
639,0.4270171126079972,0.42718419289250936,0.4677629345565952,1,Mansion House,13054.549486845186,9.476968570392634
640,0.9775913336376625,1.0211773600549572,0.9472208227956941,2,Marble Arch,36706.27856830351,10.51073034049045
641,0.882152655228751,0.882276364069901,0.8635978685173796,4,Marylebone LU,35056.006180238204,10.464730763506823
642,0.8238732917782748,0.8806788387953557,0.80876892675306,4,Mile End,47840.886500564986,10.775656821387269
643,0.6626461522950106,0.6655811852775866,0.6785705589364229,0,Mill Hill East,5466.749226949917,8.60662233485907
645,0.4030502419675829,0.40358567164135345,0.44248786693878955,1,Moorgate,71109.74181188928,11.171993684715844
646,0.5611645752318337,0.5648015375347146,0.5508591439149325,0,Moor Park,2197.012978348546,7.695309039563307
647,0.8937987421505381,0.9641849201623591,0.9035676084326594,4,Morden,36244.224656104096,10.49806291798047
648,0.9111794024777103,1.0213181266654123,0.8695815835558591,3,Mornington Crescent,13916.12979149887,9.540875719488234
649,0.772458759028653,0.8164552490170364,0.7834099081808642,4,Neasden,9457.535933541409,9.154672886172499
650,0.69054428422195,0.7366656806575745,0.7083901579726998,4,Newbury Park,12631.776404290353,9.444050017337563
653,0.7929198779899516,0.8422033518736712,0.7822186362811229,4,North Acton,23789.001023896624,10.077020646335953
654,0.7056619634076865,0.7115846049655888,0.6952626046541787,4,North Ealing,1924.4890920319767,7.562935288233452
655,0.8003416361301059,0.8494608802990745,0.7971703730310392,4,Northfields,10282.992378229486,9.238343827256518
656,0.6420644446677283,0.64705572616136,0.636096054028492,0,North Harrow,5534.154436618072,8.618874746581506
657,0.7940611225094231,0.7975731795674341,0.7855210913279691,4,Northolt,16549.60587172983,9.714177988698868
659,0.7529108989770902,0.7530353240351754,0.7283786478682817,4,North Wembley,5113.915842797425,8.539916225229343
660,0.6717477261117518,0.6745064616836284,0.6550285593013504,0,Northwick Park,10927.321450802645,9.29911299671494
661,0.7200571067448246,0.7222758939202404,0.7045441508461984,4,Northwood,7195.910420538976,8.881407104652377
662,0.6793601834790298,0.6830722077394124,0.6723450389608391,0,Northwood Hills,4648.624292038245,8.444541697905985
663,1.0132425726235899,1.043158764024526,0.9494562110013851,2,Notting Hill Gate,45493.11130219868,10.725338174633603
664,0.8812003864142353,0.9278203712760485,0.8532444122161372,4,Oakwood,9469.260104170027,9.155911651924376
665,0.840683873902843,0.8416456457895074,0.7867866844943926,2,Old Street,73536.94808131529,11.20555685238978
667,0.772222755049988,0.8130864865708596,0.7898157985853013,4,Osterley,6527.422639385917,8.783920637101224
668,0.8366051842298265,0.902187398135258,0.825770632225548,4,Oval,24960.822427301104,10.125102833732285
669,0.8342959092521932,0.8577793492928857,0.8160141067764873,1,Oxford Circus,218750.25297820853,12.295690532103839
670,0.9466260575672687,0.9466733554191342,0.9037759503449754,2,Paddington TfL,233216.78175191628,12.359727981631767
671,0.873799741473228,0.8763656928558609,0.8037819426024281,4,Park Royal,6986.084032446488,8.851818585451143
672,0.6711721959244558,0.6754718265230876,0.6696823701547285,4,Parsons Green,21654.81960199205,9.983029501096533
673,0.7772634246864568,0.7778134337736209,0.7474081735814484,4,Perivale,6281.05335681684,8.745452173665965
674,1.1576311179623464,1.1872720092642888,1.030037415918304,1,Piccadilly Circus,172934.97933519326,12.060676743343926
675,0.6588290901671031,0.6616820635898254,0.6523442932974604,0,Pinner,8605.06416736329,9.060222369490118
676,0.7932373896044045,0.8006035163809051,0.7820263356747298,4,Plaistow,18046.794947496703,9.80077879272486
677,0.7063939378105856,0.7090357267084816,0.6965366385958914,0,Preston Road,9044.25806252597,9.109995928381597
678,0.6937670916112362,0.6958020126857626,0.6872280742403895,4,Putney Bridge,18295.63554305279,9.814472471820604
