lsoa,cluster,max_posterior,entropy
E01000777,0,0.9999999999992468,2.1758879587179987e-11
E01000778,3,1.0,1.3544097701381002e-24
E01000779,3,1.0,1.3061118499287934e-24
E01000780,3,1.0,1.5561722448962084e-22
E01000781,1,0.9998775132764046,0.0012257793537724837
E01000782,2,1.0,4.7921678006100514e-94
E01000784,3,1.0,2.9080728063745857e-25
E01000785,0,0.9999999999999858,2.850827793565741e-13
E01000787,0,1.0,4.904961137069453e-17
E01000788,2,1.0,2.3287207336061844e-21
E01000789,0,1.0,1.978573147111224e-19
E01000790,1,0.9999999975923544,5.0186424824825305e-08
E01000791,0,1.0,1.0343410227271558e-18
E01000794,0,1.0,2.426079519847251e-21
E01000795,0,1.0,9.263875381559626e-21
E01000797,2,1.0,1.243545354054584e-93
E01000798,2,1.0,4.779919952163434e-19
E01000799,1,1.0,6.032070061392378e-14
E01000801,2,1.0,2.902973124851989e-20
E01000802,3,1.0,6.2986161882049625e-22
E01000805,3,1.0,9.52492584871764e-22
E01000806,1,0.9999992935944356,1.0711281169703081e-05
E01000807,2,1.0,4.856868315631616e-72
E01000809,3,1.0,6.215640616761119e-27
E01000813,2,1.0,3.650059766712786e-161
E01000819,3,1.0,1.1337587966609049e-23
E01000820,0,1.0,3.059114657489116e-15
E01000824,2,1.0,4.390213520456936e-31
E01000827,2,1.0,3.907168177335689e-67
E01000828,3,1.0,5.983692051965953e-22
E01000832,0,0.9999999999998153,5.5492578534861035e-12
E01000834,0,1.0,1.2494619204551918e-32
E01000835,2,1.0,3.7977200290160364e-30
E01000838,2,1.0,1.2526770821401306e-102
E01000841,2,1.0,6.763971714353543e-151
E01000843,0,1.0,1.8607079960351204e-17
E01000846,2,1.0,5.152651785993815e-70
E01000847,2,1.0,1.7691601702078368e-169
E01000848,2,1.0,1.1412937912801655e-69
E01000849,1,0.9999999965232291,7.119431590876586e-08
E01000850,1,0.9999999999999005,3.211311248452434e-12
E01000855,1,1.0,1.8531452173023373e-15
E01000856,1,1.0,4.574835319534415e-14
E01000858,1,0.99999999966019,7.748549148008614e-09
E01000861,1,1.0,4.477948319061474e-15
E01000862,0,1.0,8.638013726601145e-14
E01000863,1,1.0,1.3544584238004066e-17
